date,sunspot_ms
1967-08, 135.0
1967-09, 134.9
1967-10, 134.5
1967-11, 137.6
1967-12, 142.5
1968-01, 145.3
1968-02, 145.7
1968-03, 148.2
1968-04, 151.8
1968-05, 152.4
1968-06, 150.9
1968-07, 148.9
1968-08, 148.4
1968-09, 151.5
1968-10, 155.5
1968-11, 156.6
1968-12, 156.0
1969-01, 155.7
1969-02, 155.1
1969-03, 152.9
1969-04, 150.7
1969-05, 150.4
1969-06, 150.1
1969-07, 149.9
1969-08, 150.7
1969-09, 149.2
1969-10, 147.4
1969-11, 148.0
1969-12, 148.5
1970-01, 149.5
1970-02, 150.1
1970-03, 150.3
1970-04, 150.3
1970-05, 149.8
1970-06, 149.1
1970-07, 147.0
1970-08, 143.0
1970-09, 137.6
1970-10, 132.9
1970-11, 126.5
1970-12, 119.0
1971-01, 113.8
1971-02, 110.1
1971-03, 105.3
1971-04, 100.4
1971-05,  96.5
1971-06,  94.5
1971-07,  92.7
1971-08,  91.5
1971-09,  93.2
1971-10,  93.8
1971-11,  94.7
1971-12,  98.3
